Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
14-Apr-20,IOW,11,55.56%,110.00%,4,40.00%,0,0.00%,0,0.00%,2.32,0.56,0,45.68,35.34,37.5,5.89,0.23
14-Apr-20,LAS,909,95.82%,68.35%,157,11.80%,5,0.38%,5,0.38%,132.29,16.51,0.67,80,19.6,29.28,434.44,0.1
14-Apr-20,NEAS,185,73.12%,51.53%,21,5.85%,0,0.00%,0,0.00%,20.98,7.05,0,47.82,16.01,50.33,95.77,0.06
14-Apr-20,NWAS,508,64.58%,60.05%,97,11.47%,2,0.24%,0,0.00%,78.29,14.16,0.34,71.37,18.9,30.78,266.5,0.09
14-Apr-20,SCAS,167,77.36%,37.03%,13,2.88%,0,0.00%,0,0.00%,16.92,1.61,0,51.02,14.42,20.59,108.42,0.04
14-Apr-20,SECAmb,504,91.83%,62.30%,85,10.51%,3,0.37%,0,0.00%,69.75,10.58,0.31,77.17,18.67,28.89,251.73,0.09
14-Apr-20,SWAS,233,100.00%,24.84%,35,3.73%,2,0.21%,1,0.11%,33.11,7.77,1.29,127,11.85,22,185.32,0.04
14-Apr-20,WMAS,629,86.67%,57.23%,68,6.19%,1,0.09%,0,0.00%,71.42,7.18,0.16,69.7,17.44,25.4,319.43,0.06
14-Apr-20,YAS,223,68.43%,36.74%,52,8.57%,4,0.66%,1,0.16%,39.37,10.05,1.14,95.48,14.02,27.63,141.79,0.06
15-Apr-20,EEAST,543,88.23%,62.99%,91,10.56%,5,0.58%,0,0.00%,77.68,11.3,0.71,73.13,18.68,30.22,268.32,0.09
15-Apr-20,EMAS,607,99.89%,65.13%,125,13.41%,6,0.64%,1,0.11%,304.55,53.97,2.11,93.78,19.82,31.25,307.92,0.33
15-Apr-20,IOW,13,65.38%,76.47%,2,11.76%,1,5.88%,0,0.00%,2.28,0.83,0.31,78.75,24.7,25.12,7,0.13
15-Apr-20,LAS,900,96.18%,67.52%,183,13.73%,3,0.23%,3,0.23%,137.86,18.1,1.04,107.72,19.81,30.09,440.16,0.1
