Month Year,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Feb-21,SWAS,"13,644",100.00%,38.20%,"4,847",13.57%,"1,852",5.18%,"1,009",2.82%,"4,973.45","2,949.80","1,487.14",398.03,19.26,42.23,"11,463.50",0.14
Feb-21,WMAS,"22,883",91.51%,52.93%,"4,094",9.47%,"1,054",2.44%,454,1.05%,"4,240.24","1,603.17",611.05,270.73,19.09,32.21,"13,758.31",0.1
Feb-21,YAS,"9,096",73.50%,39.95%,"2,733",12.00%,540,2.37%,176,0.77%,"2,178.86",883.35,253.74,297.27,16.54,32.81,"6,278.98",0.1
Mar-21,EEAST,"24,344",94.75%,58.14%,"4,442",10.61%,"1,014",2.42%,432,1.03%,"4,506.15","1,659.73",635.22,385.38,19.9,33.73,"13,885.56",0.11
Mar-21,EMAS,"23,756",100.00%,60.40%,"5,545",14.10%,"1,139",2.90%,497,1.26%,"12,802.75","3,399.01",920.03,331.58,21.01,36.41,"13,774.65",0.33
Mar-21,IOW,179,97.01%,14.53%,10,0.81%,3,0.24%,1,0.08%,15.88,3.58,1.03,92.95,11.23,16.07,230.57,0.01
Mar-21,LAS,"31,554",93.09%,62.05%,"6,089",11.97%,301,0.59%,301,0.59%,"5,093.10","1,026.10",152.65,"1,459.70",19.43,29.33,"16,468.05",0.1
Mar-21,NEAS,0,83.91%,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,139.82",598.23,151.42,126.82,0,51.97,0,0.07
Mar-21,NWAS,"20,420",72.62%,52.27%,"3,661",9.37%,425,1.09%,123,0.31%,"3,284.55",851.11,189.92,244.77,17.99,29.87,"11,711.01",0.08
Mar-21,SCAS,"7,481",87.65%,32.34%,873,3.77%,81,0.35%,15,0.06%,893.35,172.75,22.77,134.82,14.32,21.19,"5,519.04",0.04
Mar-21,SECAmb,"16,582",93.55%,48.30%,"2,297",6.69%,215,0.63%,52,0.15%,"2,232.81",477.31,78.94,184.62,16.95,26.25,"9,698.07",0.07
Mar-21,SWAS,"15,695",100.00%,37.31%,"5,138",12.22%,"1,811",4.31%,853,2.03%,"4,900.69","2,653.32","1,161.19",322.4,17.88,37.81,"12,534.70",0.12
Mar-21,WMAS,"23,387",91.14%,47.18%,"3,988",8.04%,916,1.85%,430,0.87%,"4,160.89","1,511.51",603.06,280.23,17.9,30.45,"14,790.64",0.08
