Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
12-Oct-22,WMAS,Royal Shrewsbury,42,66.67%,42,100.00%,40,95.24%,35,83.33%,27,64.29%,147.37,137.18,118.25,834,225.53,452.3,157.87,3.51
11-Oct-22,WMAS,Royal Shrewsbury,33,80.49%,31,93.94%,27,81.82%,21,63.64%,15,45.45%,106.8,99.55,87.76,770,208.71,539.2,114.79,3.24
10-Oct-22,WMAS,Royal Shrewsbury,43,75.44%,40,93.02%,31,72.09%,26,60.47%,21,48.84%,122.47,113.44,99.24,792,185.32,533.2,132.81,2.85
09-Oct-22,WMAS,Royal Shrewsbury,28,60.87%,25,89.29%,22,78.57%,18,64.29%,14,50.00%,73.93,67.96,57.74,592,173.19,445.9,80.82,2.64
08-Oct-22,WMAS,Royal Shrewsbury,42,70.00%,38,90.48%,22,52.38%,15,35.71%,12,28.57%,61.46,53.51,44.16,759,102.39,224.15,71.67,1.46
07-Oct-22,WMAS,Royal Shrewsbury,36,64.29%,35,97.22%,29,80.56%,22,61.11%,20,55.56%,89.62,81.76,69.27,516,164.3,379.5,98.58,2.49
06-Oct-22,WMAS,Royal Shrewsbury,51,77.27%,45,88.24%,32,62.75%,21,41.18%,17,33.33%,76.08,66.21,52.91,478,103.71,305,88.15,1.49
05-Oct-22,WMAS,Royal Shrewsbury,33,66.00%,32,96.97%,24,72.73%,20,60.61%,15,45.45%,72.06,64.9,53.93,390,145.92,345.23,80.26,2.18
04-Oct-22,WMAS,Royal Shrewsbury,44,73.33%,43,97.73%,39,88.64%,34,77.27%,32,72.73%,169.73,159.48,141.44,785,246.45,526.7,180.73,3.86
03-Oct-22,WMAS,Royal Shrewsbury,36,56.25%,35,97.22%,34,94.44%,31,86.11%,30,83.33%,203.24,194.54,178.64,940,353.62,694.5,212.17,5.65
02-Oct-22,WMAS,Royal Shrewsbury,25,50.00%,24,96.00%,22,88.00%,19,76.00%,17,68.00%,175.36,169.63,159.15,"1,240.00",435.83,950.8,181.59,7.01
01-Oct-22,WMAS,Royal Shrewsbury,26,61.90%,24,92.31%,19,73.08%,11,42.31%,11,42.31%,84.79,79.42,72.16,810,210.38,667,91.16,3.26
30-Sep-22,WMAS,Royal Shrewsbury,52,77.61%,48,92.31%,36,69.23%,26,50.00%,24,46.15%,105.87,95.39,80.82,540,136.8,349.43,118.56,2.04
29-Sep-22,WMAS,Royal Shrewsbury,35,61.40%,34,97.14%,32,91.43%,26,74.29%,23,65.71%,128.93,120.65,106.12,682,235.95,452.2,137.64,3.68
28-Sep-22,WMAS,Royal Shrewsbury,27,54.00%,26,96.30%,22,81.48%,18,66.67%,14,51.85%,157.25,151.19,141.42,"1,119.00",364.26,949.6,163.92,5.82
26-Sep-22,WMAS,Royal Shrewsbury,31,55.36%,27,87.10%,26,83.87%,21,67.74%,21,67.74%,182.98,176.34,164.84,884,368.33,815,190.3,5.9
27-Sep-22,WMAS,Royal Shrewsbury,28,48.28%,27,96.43%,22,78.57%,19,67.86%,19,67.86%,177.99,172.04,162.05,"1,066.00",396.33,960,184.96,6.36
25-Sep-22,WMAS,Royal Shrewsbury,46,71.88%,45,97.83%,38,82.61%,33,71.74%,26,56.52%,170.6,160.24,142.52,994,237.44,539.5,182.04,3.71
24-Sep-22,WMAS,Royal Shrewsbury,56,70.89%,54,96.43%,48,85.71%,34,60.71%,28,50.00%,116.74,104.35,84.8,496,139.93,338.32,130.6,2.08
